WARNING 2026-04-21 14:23:28,175 log 9316 34424 Not Found: /course/cate/
WARNING 2026-04-21 14:23:28,180 basehttp 9316 34424 "GET /course/cate/ HTTP/1.1" 404 2618
WARNING 2026-04-21 14:23:28,192 log 9316 34424 Not Found: /course/banner/
WARNING 2026-04-21 14:23:28,196 basehttp 9316 34424 "GET /course/banner/ HTTP/1.1" 404 2624
WARNING 2026-04-21 14:25:24,558 log 9316 34424 Not Found: /course/nav/
WARNING 2026-04-21 14:25:24,564 basehttp 9316 34424 "GET /course/nav/ HTTP/1.1" 404 2615
WARNING 2026-04-21 14:31:51,228 log 9316 2176 Not Found: /course/nav/
INFO 2026-04-21 14:31:51,228 basehttp 9316 22376 "POST /login/ HTTP/1.1" 200 32
WARNING 2026-04-21 14:31:51,236 basehttp 9316 2176 "GET /course/nav/ HTTP/1.1" 404 2615
WARNING 2026-04-21 14:31:51,236 log 9316 5432 Not Found: /course/cate/
WARNING 2026-04-21 14:31:51,243 log 9316 21836 Not Found: /course/banner/
WARNING 2026-04-21 14:31:51,250 basehttp 9316 21836 "GET /course/banner/ HTTP/1.1" 404 2624
WARNING 2026-04-21 14:31:51,251 basehttp 9316 5432 "GET /course/cate/ HTTP/1.1" 404 2618
INFO 2026-04-21 17:15:22,359 autoreload 10768 6112 Watching for file changes with StatReloader
INFO 2026-04-21 17:15:27,329 log 10768 4156 "OPTIONS /login/ HTTP/1.1" 200 0
WARNING 2026-04-21 17:15:27,342 log 10768 10712 Not Found: /course/nav/
WARNING 2026-04-21 17:15:27,345 log 10768 14324 Not Found: /course/cate/
WARNING 2026-04-21 17:15:27,348 log 10768 10532 Not Found: /course/banner/
INFO 2026-04-21 17:15:27,348 log 10768 4156 "POST /login/ HTTP/1.1" 200 32
WARNING 2026-04-21 17:15:27,349 log 10768 10712 "GET /course/nav/ HTTP/1.1" 404 2615
WARNING 2026-04-21 17:15:27,349 log 10768 10532 "GET /course/banner/ HTTP/1.1" 404 2624
WARNING 2026-04-21 17:15:27,350 log 10768 14324 "GET /course/cate/ HTTP/1.1" 404 2618
